#Path: /HepData/8872/d3-x1-y1
#Centrality dependence of the charged particle pseudorapidity distribution measured in several centrality intervals for charged particles with $p_{T} > 0$ GeV. The first uncertainty is statistical the #second systematic
#Location: Figure 7 right
#$\sqrt{s_{_{\text{NN}}}}$ in GeV : 5020.0
#$p_{T}$ in GeV above : 0.0
#x : $\eta$
#y : $dN_{ch}/d\eta$ in (60-90)% : $dN_{ch}/d\eta$ in (40-60)% : $dN_{ch}/d\eta$ in (30-40)% : $dN_{ch}/d\eta$ in (20-30)% : $dN_{ch}/d\eta$ in (10-20)% : $dN_{ch}/d\eta$ in (5-10)% : $dN_{ch}/d\eta$ in (1-5)% : $dN_{ch}/d\eta$ in (0-1)%
#xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	1.55	1.5	1.6	9.34	+0.096	-0.096	+0.593	-0.593	17.306	+0.131	-0.131	+0.739	-0.739	22.369	+0.192	-0.192	+0.841	-0.841	25.825	+0.221	-0.221	+0.883	-0.883	30.688	+0.266	-0.266	+1.049	-1.049	35.594	+0.341	-0.341	+1.185	-1.185	41.337	+0.47	-0.47	+1.377	-1.377	50.868	+0.489	-0.489	+1.913	-1.913
	1.65	1.6	1.7	9.41	+0.097	-0.097	+0.605	-0.605	17.331	+0.131	-0.131	+0.754	-0.754	22.368	+0.192	-0.192	+0.859	-0.859	25.814	+0.22	-0.22	+0.904	-0.904	30.425	+0.263	-0.263	+1.065	-1.065	35.476	+0.34	-0.34	+1.21	-1.21	41.002	+0.467	-0.467	+1.399	-1.399	50.302	+0.485	-0.485	+1.947	-1.947
	1.75	1.7	1.8	9.405	+0.097	-0.097	+0.614	-0.614	17.293	+0.131	-0.131	+0.768	-0.768	22.077	+0.189	-0.189	+0.868	-0.868	25.476	+0.218	-0.218	+0.916	-0.916	30.155	+0.261	-0.261	+1.084	-1.084	34.928	+0.336	-0.336	+1.224	-1.224	40.531	+0.464	-0.464	+1.423	-1.423	49.617	+0.482	-0.482	+1.984	-1.984
	1.85	1.8	1.9	9.405	+0.097	-0.097	+0.625	-0.625	17.192	+0.13	-0.13	+0.784	-0.784	22.062	+0.19	-0.19	+0.896	-0.896	25.436	+0.218	-0.218	+0.948	-0.948	29.798	+0.259	-0.259	+1.11	-1.11	34.54	+0.331	-0.331	+1.257	-1.257	39.894	+0.458	-0.458	+1.454	-1.454	48.78	+0.474	-0.474	+2.034	-2.034
	1.95	1.9	2.0	9.433	+0.097	-0.097	+0.635	-0.635	17.143	+0.13	-0.13	+0.793	-0.793	21.88	+0.189	-0.189	+0.902	-0.902	25.044	+0.216	-0.216	+0.948	-0.948	29.52	+0.258	-0.258	+1.118	-1.118	34.21	+0.331	-0.331	+1.265	-1.265	39.241	+0.454	-0.454	+1.454	-1.454	47.307	+0.464	-0.464	+2.014	-2.014
	2.05	2.0	2.1	9.444	+0.098	-0.098	+0.653	-0.653	17.104	+0.13	-0.13	+0.827	-0.827	21.743	+0.189	-0.189	+0.945	-0.945	24.878	+0.216	-0.216	+1.0	-1.0	29.112	+0.256	-0.256	+1.17	-1.17	33.818	+0.33	-0.33	+1.33	-1.33	38.439	+0.445	-0.445	+1.516	-1.516	46.313	+0.455	-0.455	+2.11	-2.11
	2.1500000000000004	2.1	2.2	9.372	+0.098	-0.098	+0.658	-0.658	17.049	+0.131	-0.131	+0.839	-0.839	21.565	+0.189	-0.189	+0.954	-0.954	24.585	+0.215	-0.215	+1.008	-1.008	28.749	+0.255	-0.255	+1.178	-1.178	33.3	+0.329	-0.329	+1.336	-1.336	37.792	+0.443	-0.443	+1.521	-1.521	45.777	+0.456	-0.456	+2.138	-2.138
	2.25	2.2	2.3	9.489	+0.095	-0.095	+0.699	-0.699	17.036	+0.126	-0.126	+0.912	-0.912	21.402	+0.181	-0.181	+1.047	-1.047	24.273	+0.204	-0.204	+1.115	-1.115	28.395	+0.242	-0.242	+1.304	-1.304	32.685	+0.31	-0.31	+1.475	-1.475	37.272	+0.422	-0.422	+1.689	-1.689	44.7	+0.432	-0.432	+2.363	-2.363
	2.3499999999999996	2.3	2.4	9.474	+0.094	-0.094	+0.701	-0.701	16.869	+0.123	-0.123	+0.9	-0.9	21.196	+0.176	-0.176	+1.029	-1.029	24.073	+0.199	-0.199	+1.094	-1.094	28.243	+0.236	-0.236	+1.283	-1.283	31.913	+0.298	-0.298	+1.424	-1.424	36.504	+0.407	-0.407	+1.635	-1.635	43.795	+0.424	-0.424	+2.301	-2.301
	2.45	2.4	2.5	9.34	+0.098	-0.098	+0.706	-0.706	16.8	+0.13	-0.13	+0.923	-0.923	21.07	+0.185	-0.185	+1.057	-1.057	23.859	+0.21	-0.21	+1.124	-1.124	27.542	+0.245	-0.245	+1.297	-1.297	31.815	+0.317	-0.317	+1.473	-1.473	35.629	+0.429	-0.429	+1.656	-1.656	43.003	+0.449	-0.449	+2.356	-2.356
	2.55	2.5	2.6	9.364	+0.099	-0.099	+0.713	-0.713	16.576	+0.13	-0.13	+0.913	-0.913	20.773	+0.185	-0.185	+1.043	-1.043	23.472	+0.209	-0.209	+1.104	-1.104	27.18	+0.247	-0.247	+1.279	-1.279	31.143	+0.315	-0.315	+1.439	-1.439	34.976	+0.427	-0.427	+1.623	-1.623	41.486	+0.443	-0.443	+2.281	-2.281
	2.6500000000000004	2.6	2.7	9.23	+0.172	-0.172	+0.727	-0.727	16.135	+0.223	-0.223	+0.936	-0.936	20.64	+0.32	-0.32	+1.099	-1.099	23.418	+0.366	-0.366	+1.176	-1.176	26.831	+0.426	-0.426	+1.347	-1.347	30.302	+0.544	-0.544	+1.497	-1.497	33.831	+0.733	-0.733	+1.679	-1.679	40.29	+0.825	-0.825	+2.382	-2.382


